d1	120	8/p7/p7/p7/p7/8/8/3Rppp1	a1 b1 c1 e1	d2 d3 d4
d1	122	8/p7/p7/p7/p7/8/p7/1p1Rppp1	b1 c1 e1	d2
d1	124	8/p7/p7/p7/p7/p7/8/2pRppp1	c1 e1	d2 d3
d1	126	8/p7/p7/p7/p7/p7/p7/1ppRppp1	c1 e1	d2
e1	0	8/8/8/8/8/8/8/4R3	a1 b1 c1 d1 f1 g1 h1	e2 e3 e4 e5 e6 e7 e8
e1	2	8/8/8/8/8/8/p7/1p2R3	b1 c1 d1 f1 g1 h1	e2
e1	4	8/8/8/8/8/p7/8/2p1R3	c1 d1 f1 g1 h1	e2 e3
e1	6	8/8/8/8/8/p7/p7/1pp1R3	c1 d1 f1 g1 h1	e2
e1	8	8/8/8/8/p7/8/8/3pR3	d1 f1 g1 h1	e2 e3 e4
e1	10	8/8/8/8/p7/8/p7/1p1pR3	d1 f1 g1 h1	e2
e1	12	8/8/8/8/p7/p7/8/2ppR3	d1 f1 g1 h1	e2 e3
e1	14	8/8/8/8/p7/p7/p7/1pppR3	d1 f1 g1 h1	e2
e1	16	8/8/8/p7/8/8/8/4R3	a1 b1 c1 d1 f1 g1 h1	e2 e3 e4 e5
e1	18	8/8/8/p7/8/8/p7/1p2R3	b1 c1 d1 f1 g1 h1	e2
e1	20	8/8/8/p7/8/p7/8/2p1R3	c1 d1 f1 g1 h1	e2 e3
e1	22	8/8/8/p7/8/p7/p7/1pp1R3	c1 d1 f1 g1 h1	e2
e1	24	8/8/8/p7/p7/8/8/3pR3	d1 f1 g1 h1	e2 e3 e4
e1	26	8/8/8/p7/p7/8/p7/1p1pR3	d1 f1 g1 h1	e2
e1	28	8/8/8/p7/p7/p7/8/2ppR3	d1 f1 g1 h1	e2 e3
e1	30	8/8/8/p7/p7/p7/p7/1pppR3	d1 f1 g1 h1	e2
e1	32	8/8/p7/8/8/8/8/4Rp2	a1 b1 c1 d1 f1	e2 e3 e4 e5 e6
e1	34	8/8/p7/8/8/8/p7/1p2Rp2	b1 c1 d1 f1	e2
